latitude,longitude,station,county_code,county_name,lat/long,main_gps_county
58.8,26.7,station67,4,JÕGEVAMAA,"58.8,26.7",0
58.8,27.2,station68,4,JÕGEVAMAA,"58.8,27.2",0
58.8,27.7,station69,12,UNKNOWN,"58.8,27.7",0
58.8,28.2,station70,12,UNKNOWN,"58.8,28.2",0
59.1,21.7,station71,12,UNKNOWN,"59.1,21.7",0
59.1,22.2,station72,1,HIIUMAA,"59.1,22.2",0
59.1,22.7,station73,1,HIIUMAA,"59.1,22.7",0
59.1,23.2,station74,6,LÄÄNEMAA,"59.1,23.2",0
59.1,23.7,station75,6,LÄÄNEMAA,"59.1,23.7",0
59.1,24.2,station76,0,HARJUMAA,"59.1,24.2",0
59.1,24.7,station77,9,RAPLAMAA,"59.1,24.7",1
59.1,25.2,station78,0,HARJUMAA,"59.1,25.2",0
59.1,25.7,station79,3,JÄRVAMAA,"59.1,25.7",0
59.1,26.2,station80,5,LÄÄNE-VIRUMAA,"59.1,26.2",0
59.1,26.7,station81,5,LÄÄNE-VIRUMAA,"59.1,26.7",0
59.1,27.2,station82,2,IDA-VIRUMAA,"59.1,27.2",0
59.1,27.7,station83,2,IDA-VIRUMAA,"59.1,27.7",0
59.1,28.2,station84,12,UNKNOWN,"59.1,28.2",0
59.4,21.7,station85,12,UNKNOWN,"59.4,21.7",0
59.4,22.2,station86,12,UNKNOWN,"59.4,22.2",0
59.4,22.7,station87,12,UNKNOWN,"59.4,22.7",0
59.4,23.2,station88,6,LÄÄNEMAA,"59.4,23.2",0
59.4,23.7,station89,0,HARJUMAA,"59.4,23.7",0
59.4,24.2,station90,0,HARJUMAA,"59.4,24.2",0
59.4,24.7,station91,0,HARJUMAA,"59.4,24.7",1
59.4,25.2,station92,0,HARJUMAA,"59.4,25.2",0
59.4,25.7,station93,0,HARJUMAA,"59.4,25.7",0
59.4,26.2,station94,5,LÄÄNE-VIRUMAA,"59.4,26.2",1
59.4,26.7,station95,5,LÄÄNE-VIRUMAA,"59.4,26.7",0
59.4,27.2,station96,2,IDA-VIRUMAA,"59.4,27.2",1
59.4,27.7,station97,2,IDA-VIRUMAA,"59.4,27.7",0
59.4,28.2,station98,12,UNKNOWN,"59.4,28.2",0
59.7,21.7,station99,12,UNKNOWN,"59.7,21.7",0
59.7,22.2,station100,12,UNKNOWN,"59.7,22.2",0
59.7,22.7,station101,12,UNKNOWN,"59.7,22.7",0
59.7,23.2,station102,12,UNKNOWN,"59.7,23.2",0
59.7,23.7,station103,12,UNKNOWN,"59.7,23.7",0
59.7,24.2,station104,12,UNKNOWN,"59.7,24.2",0
59.7,24.7,station105,0,HARJUMAA,"59.7,24.7",0
59.7,25.2,station106,0,HARJUMAA,"59.7,25.2",0
59.7,25.7,station107,0,HARJUMAA,"59.7,25.7",0
59.7,26.2,station108,5,LÄÄNE-VIRUMAA,"59.7,26.2",0
59.7,26.7,station109,5,LÄÄNE-VIRUMAA,"59.7,26.7",0
59.7,27.2,station110,12,UNKNOWN,"59.7,27.2",0
59.7,27.7,station111,12,UNKNOWN,"59.7,27.7",0
59.7,28.2,station112,12,UNKNOWN,"59.7,28.2",0
